Minisector,LEC,HUL,Fastest
0,316.404809053705,309.09458876453203,LEC
1,313.02758877428573,303.61039950145755,LEC
2,165.46970612656085,163.1046874984795,LEC
3,163.08605785219314,154.95796255142955,LEC
4,203.9678594181818,197.54646215555113,LEC
5,149.22210769711316,145.86017653355455,LEC
6,203.02739102476193,196.68285324666442,LEC
7,272.84628375896085,268.0741356629212,LEC
8,290.7403014135873,284.61508983956287,LEC
9,282.21490643361346,274.63611844033613,LEC
10,243.67010821500935,232.06083203734858,LEC
11,245.38120321176274,234.47724892230576,LEC
12,221.33792096478288,221.77635220136057,HUL
13,180.19822895042734,184.7095570205701,HUL
14,135.173937850492,132.5514193815089,LEC
15,130.83819426290518,128.9464376401006,LEC
16,205.72252393962327,184.7382588409448,LEC
17,266.99302888685713,267.43074250222224,HUL
18,207.8117674838514,206.69350497061043,LEC
19,113.09710062667362,111.44074312871297,LEC
20,205.7016147525926,205.79154753302282,HUL
21,188.83454461168947,178.393104967033,LEC
22,250.411058469376,243.42635891186882,LEC
23,280.56030132148146,277.64986882993196,LEC
24,306.3719516009015,302.973786496,LEC
25,316.75780288701543,310.0597223111111,LEC
