Minisector,SAI,ALO,Fastest
0,274.76273706666666,268.82857122539684,SAI
1,299.39570469580315,292.3141217311016,SAI
2,312.15964603876796,304.85177049957235,SAI
3,319.0323526901961,312.11778711484595,SAI
4,323.8026040666667,316.96593129411764,SAI
5,324.80809927139717,321.8611717843864,SAI
6,210.83500479999998,208.10224370402932,SAI
7,108.77952082376194,107.79156720881788,SAI
8,186.3998133282555,189.0408931189741,ALO
9,262.7724029268582,261.8301245240631,SAI
10,291.79014473650795,290.40578696296296,SAI
11,174.79508594644935,165.2072486231552,SAI
12,98.83683996944379,99.61331375672046,ALO
13,117.01847703188405,117.98979024422286,ALO
14,225.21594207536234,221.83543881310433,SAI
15,186.4247327316913,191.69120331851852,ALO
16,232.50252375389238,227.76786843182003,SAI
17,180.8077385853968,183.9379459809524,ALO
18,237.79206191020407,237.94030184844925,ALO
19,278.36014951779447,277.8053019875443,SAI
20,254.32191976450216,249.21436869956707,SAI
21,146.25923800512342,145.44584624166887,SAI
22,97.01830904646077,95.77473550265167,SAI
23,128.73838995051347,126.19543201382267,SAI
24,228.97649928612836,225.79409715555553,SAI
25,258.2499968,,SAI
