Minisector,HAM,VET,Fastest
0,270.7791505010085,275.1530145527869,VET
1,289.3586473229377,293.12090204105556,VET
2,294.15125997040525,301.05315035967084,VET
3,134.63178818938684,135.1106258279639,VET
4,202.04158468444658,194.60129015027613,HAM
5,260.64994690115634,264.03897176667465,VET
6,146.6791016457607,143.01179407169363,HAM
7,209.26195826123967,210.79891108123613,VET
8,263.21804968884254,265.02055320820705,VET
9,283.6279548542695,286.9517879408678,VET
10,244.3388906335787,249.10340754861824,VET
11,184.87451346358102,187.20957597151673,VET
12,192.34305310041313,186.09056701480156,HAM
13,151.2487052064689,153.78627195003602,VET
14,185.7193501754743,171.91412624272434,HAM
15,170.30325861635382,164.34808784173705,HAM
16,218.7857806792328,211.1856249739674,HAM
17,239.2446180746705,241.18566117116956,VET
18,240.33653056464496,238.53681161334802,HAM
19,249.49932490230842,261.22605371251535,VET
20,152.018018296306,143.06758358755457,HAM
21,139.4830329528325,145.06157887279858,VET
22,172.75503863396676,163.1118277070935,HAM
23,155.85450333740317,150.74034245275627,HAM
24,233.47513589285796,226.862358910978,HAM
25,,263.2833336888889,VET
