Minisector,VER,BEA,Fastest
0,298.42018262692227,306.0808475343915,BEA
1,204.8656900392971,193.15481798389226,VER
2,225.43807929701032,212.69766838213758,VER
3,277.75614666795315,265.60670365645024,VER
4,245.46179213129696,217.38443961104375,VER
5,127.42476463846435,126.12693343088645,VER
6,201.07517353839907,207.2444601946439,BEA
7,245.15434497634232,246.99347584129293,BEA
8,230.5637671540072,235.50526971252748,BEA
9,241.89540775328797,228.85567429300207,VER
10,288.35277427114454,285.30931808963624,VER
11,310.8364259349073,310.9299117782456,BEA
12,321.3880384580499,323.7988540773333,BEA
13,318.0160070231177,322.0412034650604,BEA
14,309.0508330071509,310.8769606343434,BEA
15,245.94125060880074,237.94594947248677,VER
16,236.38224518497657,232.04120802227104,VER
17,280.5086698497778,272.73071044877656,VER
18,290.0059026001771,278.79202063919325,VER
19,156.049223155554,149.84346486074946,VER
20,198.69583537675808,195.01148934495725,VER
21,178.2341615845516,163.3584847371554,VER
22,131.09873666240287,130.0574929622312,VER
23,240.46034890758952,243.10721467950873,BEA
24,293.7815962943358,292.3147128899449,VER
25,306.77142857142854,,VER
