Minisector,LEC,NOR,Fastest
0,267.61504096117216,264.27644135970695,LEC
1,244.04719215407408,247.69583490162782,NOR
2,153.02152207017716,167.23783924945235,NOR
3,250.8792870297724,250.55650550026283,LEC
4,275.51406235555555,269.77586795555555,LEC
5,187.3595461677699,195.65660908111138,NOR
6,118.61432986083497,121.96260471446323,NOR
7,166.68252191349603,156.49898122926828,LEC
8,261.621333248,258.7317744663405,LEC
9,177.5336252778198,182.78298974814814,NOR
10,185.09797555809521,180.16814004541487,LEC
11,257.5287988585012,259.1840878427072,NOR
12,235.44360114285715,259.76689546238464,NOR
13,259.1809401279483,269.5483223117722,NOR
14,286.8655795478261,287.5885548794458,NOR
15,288.7651289564069,286.8989158956522,LEC
16,149.49856430477922,146.2779925814646,LEC
17,239.78323158284942,237.61948941383486,LEC
18,287.60308425281386,282.3051250555434,LEC
19,300.2676136242424,296.83020165962733,LEC
20,305.60782942182584,301.5960826344336,LEC
21,312.4914681687075,306.09063977590097,LEC
22,156.28385385151492,171.64293574857143,NOR
23,91.31352181418684,89.92419105897984,LEC
24,173.4913577080787,169.00408483676765,LEC
25,245.73333333333335,244.77916586666666,LEC
