Minisector,VER,OCO,Fastest
0,303.12003966137564,304.94473678596495,OCO
1,235.01940191281815,235.00027117807852,VER
2,134.04375647943027,131.16758879619047,VER
3,216.9146592884764,213.85391949039018,VER
4,262.5338187161828,260.3497908419048,VER
5,286.4318777989418,285.71552126846274,VER
6,300.63898906865967,300.1935928945185,VER
7,273.52916826666666,280.4087748491228,OCO
8,177.1596165848332,172.06622874413185,VER
9,242.38653051423915,237.6157187878788,VER
10,274.73399081704264,270.32812458666666,VER
11,265.50246881035275,256.84915014166626,VER
12,211.57788027553696,198.24020147106228,VER
13,128.98396101232447,123.3966753295238,VER
14,126.33026788952381,119.99191741243925,VER
15,168.0394560655537,155.64648224985993,VER
16,125.58959671760547,122.75623129794666,VER
17,232.1775355362319,224.93749936231887,VER
18,191.39220068223787,172.66535881474522,VER
19,162.39848352323233,162.0600422464755,VER
20,247.52046249872416,244.34331761552613,VER
21,274.07870195048326,273.99770794666665,VER
22,287.31798214736847,289.0705853648113,OCO
23,296.53564805079367,298.5057016140351,OCO
24,301.357903458201,303.03946070588233,OCO
