Minisector,NOR,HAM,Fastest
0,310.83936685507626,296.38773448666666,NOR
1,231.92588043326984,227.37716747172072,NOR
2,125.85373560166941,132.22198395474837,HAM
3,231.09735853559238,232.18505747103202,HAM
4,190.95921449675407,188.63638724440605,NOR
5,240.65438880687313,238.7958517123664,NOR
6,226.3796831721495,224.04213114838709,NOR
7,252.46676853018064,257.6433712365333,HAM
8,278.28429404222226,285.2408826214815,HAM
9,218.10041908398267,206.79493377001566,NOR
10,200.8853552110053,204.43982159788382,HAM
11,269.4616176944485,269.5968764642199,HAM
12,205.35472382894753,205.52726798349605,HAM
13,240.60601899353284,241.05233786141508,HAM
14,288.2119452908975,284.11682124523213,NOR
15,308.8303024272682,300.9948998880231,NOR
16,308.44396964643994,303.4299603088849,NOR
17,224.42087150040152,231.4726128571377,HAM
18,264.1857924865682,260.64492653778257,NOR
19,297.37267568482923,291.0946116935805,NOR
20,316.55693864031707,302.7981364830883,NOR
21,315.9205152734199,303.80316432649715,NOR
22,141.29961440774397,159.9161532698215,HAM
23,233.0792730820063,229.68557476295467,NOR
24,290.5196357857833,278.99306884590317,NOR
25,303.17000064,291.0111111111111,NOR
