Minisector,RUS,NOR,Fastest
0,315.7332797733489,313.92660627422526,RUS
1,324.57822929246794,321.65597401766234,RUS
2,318.4045915488926,317.9913878018578,RUS
3,182.00097925794367,197.6235137335941,NOR
4,125.29415321261365,126.13125786630351,NOR
5,259.80381901553943,260.4347181400738,NOR
6,297.44294589941524,294.67396725606545,RUS
7,309.7681663260681,308.6297183759987,RUS
8,267.3733949497861,276.7976025562967,NOR
9,146.3521899173246,145.3061393478977,RUS
10,210.0493469393438,211.62350001351479,NOR
11,211.19724262464223,214.2465339290381,NOR
12,191.1576341076751,190.79636300670634,RUS
13,265.05865171814634,263.22341454120067,RUS
14,299.30319643806484,299.71195852033037,NOR
15,309.7292527260119,310.048,NOR
16,258.0353023649524,252.640564078893,RUS
17,212.3703171062912,218.5239701765481,NOR
18,272.83066645134573,273.1250125750143,NOR
19,302.5760385298415,301.8443784380093,RUS
20,315.0144444109668,315.27657997955555,NOR
21,297.90243133968255,292.6436507631746,RUS
22,203.24389291450737,204.7736024531503,NOR
23,262.578411054966,265.0855177022611,NOR
24,298.7500535783575,297.36074021326823,RUS
