Minisector,RAI,PER,Fastest
0,298.97537429036544,282.8156804121301,RAI
1,251.5673828038095,241.32086097737005,RAI
2,271.2811126542837,267.2918209486473,RAI
3,297.0690674611527,279.4748266128651,RAI
4,132.62440005553606,131.96206468694567,RAI
5,215.6645132292957,208.53625729299677,RAI
6,273.0342389210576,265.3764437038394,RAI
7,292.78068864702425,286.2223119031795,RAI
8,301.5750637720277,296.6197916,RAI
9,304.7836697872114,302.1159715442524,RAI
10,287.7360290365669,303.8069196571429,PER
11,104.20132185326486,116.56969421836467,PER
12,229.4832770174049,197.66858219263366,RAI
13,278.1553240822032,267.2530937144482,RAI
14,269.8156450354924,285.78680029285306,PER
15,130.99331699214576,134.3909678957374,PER
16,211.87995809431578,190.51414076642575,RAI
17,262.6019505354497,249.75219259378125,RAI
18,245.88187519029208,266.45274917226305,PER
19,242.5552422263716,235.00856662388657,RAI
20,150.87442057067398,170.66337780577723,PER
21,194.51851184900954,162.28554692048544,RAI
22,179.11247369766247,188.98739590276094,PER
23,195.2077342527624,173.19005086669347,RAI
24,257.44605500841095,237.04727062428123,RAI
25,,268.5050005333334,PER
