Minisector,ANT,HAM,Fastest
0,299.143806699581,295.4111663869804,ANT
1,148.27124537975604,147.27377355340806,ANT
2,228.75538204111615,223.4939439963186,ANT
3,276.90279498512075,280.73313044462583,HAM
4,314.19315264366753,313.4246593575287,ANT
5,311.59545664758605,303.56120996502165,ANT
6,152.4855252171709,149.95021227934396,ANT
7,258.5632730552381,253.6158394805091,ANT
8,121.09343610604827,116.45351774764798,ANT
9,160.83529882848686,168.00545706858554,HAM
10,279.4953602441742,277.97612433285906,ANT
11,301.57970643483,303.3865929454663,HAM
12,226.5909419806349,217.98237663739476,ANT
13,168.58596372931052,172.039096506131,HAM
14,277.0345455619048,280.697034828414,HAM
15,313.82923883204626,313.63423018812927,ANT
16,327.5201386821256,327.3343429903243,ANT
17,336.4314541385621,334.6370056667063,ANT
18,338.9408729904762,338.15157382550655,ANT
19,340.11747304450216,339.81628843431224,ANT
20,194.96255759856217,193.8315493900459,ANT
21,176.43580489537817,165.94707610584416,ANT
22,280.6817143970696,276.6797595520417,ANT
23,312.7387263216213,313.13585660687494,HAM
24,327.0092900281129,325.9612572765247,ANT
25,,326.15515895873017,HAM
