Minisector,HAM,BOT,Fastest
0,297.54730081212125,286.99722960380956,HAM
1,150.6675177068071,148.21191287496853,HAM
2,165.26209413083652,166.2261102419853,BOT
3,245.3799650727619,244.98149179193678,HAM
4,282.65137436398265,279.5763065837968,HAM
5,245.34674925804927,230.33979867581692,HAM
6,218.33269116838088,204.44464442549634,HAM
7,152.01368774392608,152.9392574358155,BOT
8,228.70067434121106,231.74779037338843,BOT
9,280.65960747953494,280.0911441201296,HAM
10,296.7998840250677,296.94980676184446,BOT
11,305.8264916566899,305.67756581894736,HAM
12,310.83885212514286,310.2135507998508,HAM
13,303.1953909617778,305.0557902455105,BOT
14,124.47551966575821,128.4313231084187,BOT
15,119.81074291045803,119.7835155886913,HAM
16,96.95526268077057,97.08587878635817,BOT
17,234.0936464617065,234.55812238890104,BOT
18,286.3928883765427,282.8517880535517,HAM
19,304.7210994694737,302.3481791555252,HAM
20,313.8418416560224,311.29902492865324,HAM
21,313.8321468903908,315.20115081650795,BOT
22,127.62483763765312,131.40658217176568,BOT
23,198.5489690052246,193.31325404843864,HAM
24,268.1252696151153,264.8173341522322,HAM
25,,279.63499904,BOT
