Minisector,RAI,SAI,Fastest
0,308.40479175111113,294.92765146320346,RAI
1,254.91654167869717,245.50881435897435,RAI
2,204.1495007066052,203.38238383506476,RAI
3,267.26547479307476,267.08665029619516,RAI
4,236.36312486587738,231.35480603880072,RAI
5,121.28774007956196,117.81682256557527,RAI
6,176.63992254920512,175.99411639145777,RAI
7,257.9741112663548,258.0294000554666,SAI
8,289.2022723393939,286.1990080435374,RAI
9,302.6401017078748,298.7761905015873,RAI
10,307.2693273261237,304.6994920141096,RAI
11,235.63422613665628,212.52021635993432,RAI
12,146.0290379088557,151.16445111612754,SAI
13,256.9600074355917,259.66458189481034,SAI
14,289.6422343757576,287.6188421986394,RAI
15,299.82062496,294.9824004989039,RAI
16,297.2168651174603,292.78076883248593,RAI
17,260.84457464250164,253.83747543838294,RAI
18,179.25059471238094,181.4436374739047,SAI
19,189.9864413784979,175.76953081114402,RAI
20,185.30455970142899,191.97863662802635,SAI
21,247.09666756266665,242.13053488775788,RAI
22,128.59535573270475,123.91565470554833,RAI
23,204.38453547618005,205.58159534737328,SAI
24,278.62426105295236,274.9810653448627,RAI
