Minisector,PER,RIC,Fastest
0,307.35356447411147,295.20354176,PER
1,313.30234469467786,293.9333528819411,PER
2,162.13814438941068,158.76558393940746,PER
3,229.865346262956,230.38242828985506,RIC
4,285.025252582491,283.83734335839597,PER
5,307.3446762666667,309.3495798588235,RIC
6,312.4247684740741,315.4269956929972,RIC
7,156.9234434095137,166.0013725490196,RIC
8,137.38892172481036,135.9154457392802,PER
9,259.02107242666665,249.80674603174603,PER
10,296.688993981338,281.68327099348375,PER
11,296.3593789874326,286.41203703703707,PER
12,139.2846954201738,151.69108813333332,RIC
13,204.73801230153427,201.489215062756,PER
14,264.58979194666665,257.8727890140589,PER
15,202.13356418703177,203.6330471552402,RIC
16,226.44345307826086,227.84420289855075,RIC
17,217.7119857123129,219.67466641066665,RIC
18,248.01354076874097,248.79434194223185,RIC
19,279.02675497543856,275.05614051929825,PER
20,293.1473756152156,287.75443673420483,PER
21,261.9849917897388,258.92154810947187,PER
22,222.16929827386107,226.2442702666667,RIC
23,215.06547968964412,209.0557581197327,PER
24,278.2530663847619,263.30604186666665,PER
25,,283.22500053333334,RIC
