Minisector,VER,HUL,Fastest
0,277.22684579394996,279.298248012403,HUL
1,292.96416672,294.97125008,HUL
2,249.88298648888892,236.66040678603534,VER
3,119.5401967984451,115.68537570420169,VER
4,134.0563537490006,136.44071250852713,HUL
5,248.3384059362319,251.24638137105606,HUL
6,261.40984853333333,252.28912788405796,VER
7,124.42608622086675,123.81705930973425,VER
8,246.37113441766135,246.8096672,HUL
9,267.28430735238095,260.6322495952359,VER
10,212.82435894700959,205.39112394109222,VER
11,144.29146328455283,143.4510571532673,VER
12,203.97051517278913,211.05324112592592,HUL
13,262.3786708691401,264.5781925333333,HUL
14,123.62404246909423,119.93318554603647,VER
15,187.2858213038253,194.88088905316184,HUL
16,256.4067361901691,258.1027331786436,HUL
17,291.19906481632654,288.0427084723809,VER
18,305.28287040000004,299.9300439578947,VER
19,313.47666007221056,303.6877083733333,VER
20,316.1877314962963,307.17614581316644,VER
21,184.2606384689169,164.4915423680649,VER
22,135.34290001632652,151.84506717192983,HUL
23,207.85463030926846,204.36532224170816,VER
24,231.87162148647815,240.11499844904228,HUL
25,263.83333546666665,,VER
