Minisector,RIC,NOR,Fastest
0,303.2053769208089,300.60758380811285,RIC
1,230.4373777882353,239.04318131722152,NOR
2,131.38634314799745,131.9895233220487,NOR
3,235.56065725001514,239.2851559,NOR
4,189.56541629333333,188.26472619703435,RIC
5,237.98116285860056,246.15315240522284,NOR
6,221.95674388377088,232.65967294829335,NOR
7,254.11570751440178,258.1188197489788,NOR
8,283.8197188544788,285.2594137679012,NOR
9,203.93980289122806,208.78884750353419,NOR
10,199.96023838064372,202.20960350075188,NOR
11,270.59464274285716,271.146018384297,NOR
12,206.44396840370763,209.7533584019208,NOR
13,249.62986298952154,249.4954570415533,RIC
14,293.05215183579327,291.08800412014654,RIC
15,306.37849996799997,303.4347435295012,RIC
16,303.5002627413109,299.0691664213333,RIC
17,227.19351733456583,234.33512432680857,NOR
18,270.6109218525731,270.9369259034483,NOR
19,299.66639185934065,297.812283828853,RIC
20,303.24483327999997,303.1230768820513,RIC
21,297.0760802765432,293.1223349298168,RIC
22,150.17056122102207,153.94705769411766,NOR
23,235.94540267153428,237.2377618952381,NOR
24,290.23355367997465,287.94566580574354,RIC
