Minisector,RUS,BEA,Fastest
0,310.5209711643592,302.3240396547952,RUS
1,246.57503877723613,225.20477670445212,RUS
2,120.74970313345247,131.7889340802278,BEA
3,237.77615599223765,235.2996773827119,RUS
4,194.45418042073234,198.27111191070236,BEA
5,244.12732864510133,250.44522657424662,BEA
6,225.7319682310178,235.83983075100167,BEA
7,256.84367866455716,258.26833339863947,BEA
8,295.8076502265688,290.7587892248196,RUS
9,200.5831051977795,201.5922338962963,BEA
10,207.05268278799286,207.36353958415495,BEA
11,277.5306011085325,275.4874701076276,RUS
12,213.5388643373674,213.39135594995332,RUS
13,252.16306180243035,253.39890059678697,BEA
14,298.84493830544005,292.8065217762319,RUS
15,314.83317650086957,307.07198723920766,RUS
16,319.9669414405079,312.4372727272727,RUS
17,205.7431244475388,212.94223900208112,BEA
18,260.24047745193343,262.4677313800577,BEA
19,300.81622656426794,295.2771174703957,RUS
20,316.6127696834161,309.10305383022774,RUS
21,319.22491183171843,313.0959640096568,RUS
22,150.25672274710405,149.92285203704364,RUS
23,236.0129933656795,235.39478135919157,RUS
24,292.2505696388162,283.0042052517997,RUS
