Minisector,NOR,COL,Fastest
0,283.8767507972699,283.39074055962476,NOR
1,294.37377394885084,297.5659316085691,COL
2,274.57380469427886,275.8440488268607,COL
3,167.51834422243695,169.42309442439927,COL
4,114.71280849166928,111.65548197777065,NOR
5,240.45610136861907,235.4584892743461,NOR
6,288.6861318389814,285.86229359746034,NOR
7,290.07063438863827,294.37199770939264,COL
8,171.41017083266314,176.73783313296678,COL
9,137.5890634965229,131.13164592982707,NOR
10,258.5399077208429,245.62216408578442,NOR
11,297.2038256185085,291.10896885521885,NOR
12,296.96220764485855,294.44506106037267,NOR
13,271.8143496602881,264.9868864715018,NOR
14,284.20331626741824,282.0492412251088,NOR
15,277.4395625141185,279.3264242715151,COL
16,234.979074715766,242.68176535736262,COL
17,224.81132135439844,208.80646609773976,NOR
18,279.94504986766293,267.68882347861273,NOR
19,297.59025738039213,294.7132614146871,NOR
20,298.63472893219716,298.124375072,NOR
21,228.19726376926047,223.74580735541045,NOR
22,234.96534720670476,228.7199915174295,NOR
23,135.74041575689716,137.4524299793313,COL
24,209.5702900776947,190.8455692318892,NOR
25,261.7187488,253.9333338074074,NOR
