Minisector,VER,RUS,Fastest
0,279.1506405147836,272.67529010766486,VER
1,116.7037704653231,126.14737439396015,RUS
2,154.97602495568253,154.24439088696144,VER
3,216.8477452237587,213.75161158767506,VER
4,164.3622127785538,161.76925205918175,VER
5,238.0888918623954,237.26009508398474,VER
6,219.3778341326869,216.35754374407958,VER
7,142.12897232214826,133.58999688338832,VER
8,230.4772877577143,227.43218473052613,VER
9,269.61787175265937,267.92465180921886,VER
10,280.20529170213916,271.89872256962406,VER
11,148.38612052753743,145.7459097028895,VER
12,212.04344295207812,213.56366081228683,RUS
13,263.1368380538095,262.07068249200046,VER
14,262.5624969677527,253.82272315733331,VER
15,101.31573829197721,101.91814080615282,RUS
16,217.367319469328,215.4239209820326,VER
17,269.25109336,263.028985968013,VER
18,289.9490241405291,286.71536685950736,VER
19,300.9839493270588,296.9707473884069,VER
20,307.64244898133336,303.78654017001713,VER
21,289.91881749761905,288.586129668456,VER
22,147.70237916266666,147.3304115304195,VER
23,226.2102690307483,226.84096012520635,RUS
24,273.98163911499535,270.98149962107874,VER
25,,281.3333333333333,RUS
