Minisector,HAM,RUS,Fastest
0,229.64199085243456,229.93063277879497,RUS
1,283.10231314365245,282.36842994871796,HAM
2,297.87866670933334,296.7380987732802,HAM
3,304.58596643963284,305.0253623652174,RUS
4,271.6456239341817,259.12970198368174,HAM
5,165.26972466362332,160.0087392374616,HAM
6,260.26106306206896,260.7966636349936,RUS
7,272.30464742564106,273.7703060743838,RUS
8,214.31591415717,207.47596828275096,HAM
9,219.11568832403523,216.83945337719695,HAM
10,186.1044411785899,172.11483600650408,HAM
11,219.10643988686869,219.23723779610737,RUS
12,207.52940678098523,194.82724770461104,HAM
13,216.8894718052798,202.22767751260503,HAM
14,219.0596272881966,209.1586915703746,HAM
15,183.5554973305098,171.11549184009115,HAM
16,245.45367337398474,242.41391887069787,HAM
17,284.61950057319115,284.373397825641,HAM
18,295.6530000213333,297.5488299835728,RUS
19,282.71269095009524,288.61857551111115,RUS
20,131.9601068827514,128.73735767148023,HAM
21,162.78358778671202,152.4424853918372,HAM
22,150.62896800087856,141.7727955604276,HAM
23,211.56456618139524,200.78932035142287,HAM
24,143.87127023996123,138.54334290187225,HAM
25,178.93332906666666,176.5,HAM
