Minisector,PER,VET,Fastest
0,304.89176052105404,302.76145128425827,PER
1,235.96583472055386,240.2282818176661,VET
2,193.92800596801067,196.82873665608466,VET
3,270.5066086645397,270.6230989399171,VET
4,225.95664133333332,228.91693529462367,VET
5,110.28214265288112,109.30267821996132,PER
6,175.41450958445253,177.73839906838992,VET
7,257.6487948830138,257.79508944761903,VET
8,288.58714224695666,283.95721778109504,PER
9,304.95196692008284,297.4431666773333,PER
10,306.9211507219769,301.1766304,PER
11,226.83216056666666,244.77559538285715,VET
12,148.68155428994788,144.27472749726377,PER
13,259.8392234324274,255.8445791509424,PER
14,294.21321423847616,287.79625436441523,PER
15,305.26195659130434,296.1361112,PER
16,298.02300006400003,283.8190143534873,PER
17,255.94925607619047,250.93222468308704,PER
18,176.48250590661894,172.10723546860763,PER
19,182.19391066142455,183.58038054195134,VET
20,166.76835309569162,170.59956883428572,VET
21,240.3782795423656,246.51098145866612,VET
22,121.90803927144067,126.10660014260147,VET
23,191.64751470382743,178.5628652892945,PER
24,288.18894244102563,278.2890569025641,PER
25,,295.1583338666667,VET
