Minisector,RUS,VER,Fastest
0,303.54930083321904,298.85274971225397,RUS
1,140.81160078486857,135.20487962178925,RUS
2,215.67041669333335,212.79285822315947,RUS
3,274.8898393946149,279.8266848183878,VER
4,312.91494047577027,319.9129483579494,VER
5,319.5001468302792,315.87517436121215,RUS
6,150.73846895131675,145.60912568262364,RUS
7,246.23947447641325,240.87030987701425,RUS
8,120.05506878163062,111.91460201510101,RUS
9,130.8947958883589,156.34100148218278,VER
10,267.8922547162138,274.62601324444444,VER
11,299.26378213818185,298.86432659260504,RUS
12,259.14005094352007,249.3959813594558,RUS
13,155.98986832756384,154.7816658445501,RUS
14,267.73671003437454,272.10538864242915,VER
15,304.41666211601733,308.4740463737198,VER
16,319.8615603153623,323.2121877029787,VER
17,330.6509482076564,334.89565239033817,VER
18,335.8096102508642,344.187860009697,VER
19,335.3368985498413,349.18564341778034,VER
20,239.83431099908287,223.03961010372788,RUS
21,149.05805223321715,146.89436647205562,RUS
22,271.6831873484058,274.1098554617604,VER
23,308.66782079125977,311.5766671177143,VER
24,324.4693523428571,325.8180411157619,VER
25,324.0,,RUS
