Minisector,RUS,HAD,Fastest
0,290.06673802423495,293.0680908933333,HAD
1,302.14850450486983,306.215882247873,HAD
2,309.67848058612793,310.9052314646913,HAD
3,308.01317141421345,305.37185102222224,RUS
4,189.38926089116157,189.74236932307397,HAD
5,222.95415666296253,222.21088890349208,RUS
6,269.61781620451126,270.853190769723,HAD
7,258.7135641324899,266.63492411027573,HAD
8,192.3140740623507,195.52034980253808,HAD
9,143.09368937650794,145.2148371460033,HAD
10,182.7507565143209,182.02510178780116,RUS
11,263.06102940082053,265.1005254308388,HAD
12,243.74218092066158,244.33242756508307,HAD
13,226.55684637866668,226.2501148889742,RUS
14,273.0238004730545,271.1038421118537,RUS
15,166.68104264349208,165.5439018174296,RUS
16,219.82774966439698,218.89481658254257,RUS
17,244.4981677606349,233.7707679506117,RUS
18,132.40202899696388,129.1914685984388,RUS
19,244.96801034387244,244.15738466444267,RUS
20,286.0009146883919,286.92440674136884,HAD
21,249.56500928831167,242.7320923083337,RUS
22,140.94302829264834,143.98336764035852,HAD
23,216.8495473634142,219.05050276289205,HAD
24,273.7702909016191,274.29631996434233,HAD
25,286.0590917818182,,RUS
