Minisector,GAS,LAW,Fastest
0,278.06292610612246,292.5314880850069,LAW
1,299.0,299.3582954181818,LAW
2,234.4683008671605,238.72382066967089,LAW
3,120.19675977895638,118.53164663710791,GAS
4,131.30906031501857,135.17266298605674,LAW
5,240.59986553034014,255.80172920329755,LAW
6,237.29128039415875,255.8614673879365,LAW
7,130.12546128467704,127.37368479735696,GAS
8,249.0495533632834,242.510597857094,GAS
9,250.89673545256198,244.13285014186667,GAS
10,209.80856711085713,204.11289828151226,GAS
11,138.65258471693554,142.46081147592827,LAW
12,203.27270920496295,207.58348663045268,LAW
13,252.51030215453417,257.2526353822264,LAW
14,112.11614428507959,120.00098064037864,LAW
15,196.6577557611789,180.17641132906292,GAS
16,271.09237978261876,264.1950646866818,GAS
17,309.5103140919728,308.24027864045445,GAS
18,322.6905080470588,322.1462748507633,GAS
19,325.4715789922807,321.8977942588235,GAS
20,321.1273437,312.20172889082176,GAS
21,220.77320291224362,178.68979891849622,GAS
22,121.96814203917137,138.3078944983242,LAW
23,188.93842887777777,184.33314541252068,GAS
24,225.3764500240355,246.37870232182195,LAW
25,,284.55999744,LAW
