Minisector,RUS,HUL,Fastest
0,292.5200368153955,284.2735578684249,RUS
1,150.33051330752485,151.7582158530572,HUL
2,226.85801610589337,229.94090172294372,HUL
3,285.0138312459218,281.1717559896627,RUS
4,315.48742190363896,312.02078350708075,RUS
5,285.7783204665387,294.78652619957796,HUL
6,150.92788906907225,149.59275688257497,RUS
7,247.47454482133028,242.29645372843538,RUS
8,114.09377758692229,111.18979430943261,RUS
9,173.10401913700437,185.2293036568915,HUL
10,280.2791781198932,277.7200253470847,RUS
11,302.8546423790476,301.93412020148145,RUS
12,218.67502244811521,205.42292624033462,RUS
13,170.48393226279953,182.18223747604685,HUL
14,280.126271596595,282.7705266677469,HUL
15,315.07811753529853,313.11109277614906,RUS
16,327.62371603330695,326.4885142653968,RUS
17,335.95199125621934,332.9764801850505,RUS
18,339.2319930788456,336.99851026219886,RUS
19,341.3469297964912,338.24375,RUS
20,189.71638937347444,182.3190383183865,RUS
21,181.0436432986325,185.2946462762022,HUL
22,283.59513997025283,283.3587653219992,RUS
23,315.2456213926737,312.48075441778633,RUS
24,325.62593695499305,322.1870816958797,RUS
25,323.0,,RUS
