Minisector,HAM,RIC,Fastest
0,306.0316470603174,301.6426268801308,HAM
1,244.96687550461772,241.6428736,HAM
2,193.56909680436925,196.25063719789648,RIC
3,266.57718881347495,267.3120159266314,RIC
4,216.45494155558166,222.9192331863351,RIC
5,110.41729913786064,108.15227565542051,HAM
6,173.13683051916567,168.19257870613492,HAM
7,257.96983481958847,254.51629823054188,HAM
8,288.5947243804096,284.9214976863304,HAM
9,303.24444462222226,297.42353685079365,HAM
10,307.4059527241083,299.82814438489856,HAM
11,239.24290453350758,225.30455756840917,HAM
12,143.9463807458478,141.94823639311522,HAM
13,255.73573909590402,254.92040386206895,HAM
14,290.39817693845754,287.7714480932571,HAM
15,298.6671664213333,293.65249984,HAM
16,290.240624984127,280.785332992,HAM
17,243.9597886646489,243.53583094857143,HAM
18,170.69292420101627,169.2362374992045,HAM
19,182.47203214134683,180.27262453208698,HAM
20,174.18832648043266,172.6519332422764,HAM
21,238.57170568386636,240.77923368748287,RIC
22,120.1460903709008,119.07208089730203,HAM
23,199.20306352757555,196.6107034202404,HAM
24,281.4653691303709,281.13384122469137,HAM
25,295.10833386666667,,HAM
