Minisector,NOR,STR,Fastest
0,249.1296373599979,244.19843092994748,NOR
1,207.03993879064063,206.69857179428573,NOR
2,201.4482635240475,201.410870133398,NOR
3,256.37639891301586,254.28635418417502,NOR
4,270.455150105176,270.36901152506124,NOR
5,278.05936981157026,277.2129058666667,NOR
6,163.12795202678186,165.65479233805996,STR
7,186.84275382695844,171.5518095866602,NOR
8,264.3939252464478,262.0277201477887,NOR
9,289.2698423928022,288.40406277253106,NOR
10,296.89508236952395,297.2933248076927,STR
11,291.1860819327731,292.8728653174641,STR
12,115.71892476718685,115.95167160906291,STR
13,186.64341319726037,182.70583412517973,NOR
14,266.86031572365835,263.33582115978726,NOR
15,291.2743757122042,290.4827989897143,NOR
16,290.86279463218045,292.30250596737153,STR
17,183.7223747645227,182.2903870695238,NOR
18,221.06043924977504,210.2919069560374,NOR
19,260.5519410921304,260.033058778836,NOR
20,155.31982263624644,155.9782615935924,STR
21,144.8285969554673,137.62159294609856,NOR
22,220.9900045348131,209.83627563104935,NOR
23,230.08703324444443,229.219028937197,NOR
24,162.1236558996576,148.84913162601256,NOR
25,,217.0,STR
