Minisector,SAI,OCO,Fastest
0,281.69988531738386,280.333519874188,SAI
1,296.72558217461227,300.0669715779381,OCO
2,291.5968276068237,296.80416169281386,OCO
3,175.76924393547785,171.97143220517864,SAI
4,216.7475342570598,208.46527456609525,SAI
5,194.8922487851799,197.83975069421558,OCO
6,175.9754147049906,170.81243078629637,SAI
7,202.33949463723786,194.57314603413633,SAI
8,254.59466604285714,248.8940306727202,SAI
9,261.86490590202544,256.2926704499471,SAI
10,166.16832034741597,161.48781017932467,SAI
11,231.766669448506,229.25276182474994,SAI
12,111.50376640750335,108.54202016741085,SAI
13,218.13189387776498,215.90869096508706,SAI
14,274.53514774494334,274.1835156305589,SAI
15,288.78845966084526,289.35559255188406,OCO
16,208.44712937509797,206.5775879467813,SAI
17,182.025185475213,173.25346716852792,SAI
18,265.57027567238094,261.6898408271551,SAI
19,290.09996035911604,290.64214233071505,OCO
20,301.42440035959595,303.8726983212698,OCO
21,301.20248914839823,305.75611659590186,OCO
22,288.74803178763415,272.73661953238206,SAI
23,113.56827899613458,112.35381143252746,SAI
24,236.2217189396355,227.8171654271821,SAI
25,,264.20416746666666,OCO
