Minisector,LEC,RUS,Fastest
0,296.78359090423544,297.3017884232618,RUS
1,305.5,308.95395840888887,RUS
2,309.2615351747368,311.5168817107609,RUS
3,292.4107121329064,290.51542319527897,LEC
4,173.34286279717105,157.85990059812113,LEC
5,212.45645479505933,211.9448505819665,LEC
6,241.44138905396827,244.97529024662526,RUS
7,270.5085524518095,272.1620328187524,RUS
8,258.123404295439,237.2426574542443,LEC
9,158.9592603515958,163.1659001738031,RUS
10,224.45231298586683,209.82751332449524,LEC
11,126.49169973855248,126.47891908385812,LEC
12,228.65396862666668,232.96332668242522,RUS
13,176.9793002425449,174.19023790078305,LEC
14,216.2263045738528,226.87742420010838,RUS
15,244.90876841876047,246.63715386794257,RUS
16,268.86821124397574,273.03922444359785,RUS
17,291.9578870222222,301.5942447458422,RUS
18,152.20325549099493,144.90338366473458,LEC
19,163.09400428440512,168.50291273843706,RUS
20,140.1071126111191,140.64883707065025,RUS
21,229.0368913673096,236.2375332898655,RUS
22,263.6209359210486,266.681373775886,RUS
23,252.5286937095626,256.4205888182841,RUS
24,278.3283217817134,282.5509572898766,RUS
25,289.8875008,,LEC
