Minisector,HAM,LEC,Fastest
0,258.2280481616162,265.1446063542857,LEC
1,127.82346579506991,135.792294853815,LEC
2,201.55075640098764,196.8109128392425,HAM
3,246.94964719267978,244.07344080544217,HAM
4,253.78950440804232,260.81206537718515,LEC
5,173.4297358935873,175.82918255427379,LEC
6,146.56749790861662,144.71844424970158,HAM
7,187.15405291843553,182.7106919166935,HAM
8,99.33344590828584,102.52935221192881,LEC
9,71.79420967373231,71.58435932968591,HAM
10,97.20979987504762,93.42321362101009,HAM
11,181.7380265893273,178.53068776281575,HAM
12,243.4651784137143,243.53101866384878,LEC
13,267.83694465094015,268.50464282340135,LEC
14,279.42776484500763,282.2094546953846,LEC
15,117.86460042544061,116.17834086025714,HAM
16,145.51510778405586,133.1560248363285,HAM
17,187.0396795043771,189.27708607647727,LEC
18,195.35630984126982,193.76084098909092,HAM
19,210.19714924632575,221.14595320353246,LEC
20,132.65069271344763,135.4678064498552,LEC
21,115.95774375575681,120.83926381372395,LEC
22,95.4767117132141,93.65108062841641,HAM
23,194.53888300771956,194.77644524158669,LEC
24,249.302240040777,245.8622508938528,HAM
25,263.26785645714284,261.8340904727272,HAM
