Minisector,ALB,HUL,Fastest
0,306.8020739514375,300.67836737460937,ALB
1,186.55677398369554,179.97162872382754,ALB
2,227.1411014810778,221.4070157854601,ALB
3,277.819088274882,274.7130043594068,ALB
4,222.66232500717544,240.1617844562154,HUL
5,121.97283342149167,121.92599718025748,ALB
6,201.8983610690866,191.6332927404381,ALB
7,246.10881875132088,234.67842824983146,ALB
8,218.17749403847745,226.47973424069207,HUL
9,225.05693505515876,223.24096564470008,ALB
10,273.0639277925433,272.38929420972084,ALB
11,291.83395343158264,289.12373492817625,ALB
12,307.90679753390276,298.4787826104491,ALB
13,322.8335815278638,303.4114536340852,ALB
14,327.5234353446626,305.83157893533837,ALB
15,233.01886451566682,253.62279581734708,HUL
16,224.46418146100015,219.37726480073007,ALB
17,282.30070926392756,270.34800774318103,ALB
18,300.0666021077444,290.28681983371564,ALB
19,141.66239256554505,148.56757326183606,HUL
20,192.9212365200085,198.3174685260747,HUL
21,148.0312816235612,185.32978982660094,HUL
22,132.1825662057824,133.5660672228092,HUL
23,242.60498045240857,231.6571493465355,ALB
24,297.2409812733359,279.2215544101673,ALB
25,314.14285714285717,298.5282608695652,ALB
