Minisector,GAS,VET,Fastest
0,276.08405090309645,280.84761519795467,VET
1,154.34636375853756,156.3305193821158,VET
2,140.48540533699816,123.62701867880358,GAS
3,223.65626130942468,228.00815516956925,VET
4,281.29335347936507,283.28589693558706,VET
5,283.97458951064937,269.82277424944067,GAS
6,142.44176233651694,139.94155724496264,GAS
7,135.85639024639218,143.80714723010095,VET
8,134.43908673029392,128.04303406424776,GAS
9,184.4110791805221,187.66255299644334,VET
10,123.11782017474972,116.40864748603214,GAS
11,118.10932626974446,108.85033988548396,GAS
12,162.89196332033535,187.32649420493019,VET
13,264.0971630931803,270.86295572772053,VET
14,286.16655565155554,281.20392481785535,GAS
15,145.53199528083576,136.18467776337948,GAS
16,199.25861815534392,177.7006875742897,GAS
17,166.91387155397683,191.10161451098094,VET
18,266.71589493671183,275.9682985691657,VET
19,289.73598543183124,295.7554751689907,VET
20,303.2552875838816,310.3046429520936,VET
21,310.7366541172932,318.0502484603509,VET
22,313.443287275353,320.3006802938776,VET
23,316.21647728484845,322.6860978996826,VET
24,313.90673094862245,317.9925781845315,VET
25,309.26428525714283,,GAS
