Minisector,LEC,ALO,Fastest
0,303.5980260484738,298.3068730952381,LEC
1,214.8144199876923,210.8504250496032,LEC
2,137.53206698311251,138.5574997165772,ALO
3,211.8877557638095,217.30293502408972,ALO
4,157.34306207170306,162.8908155726077,ALO
5,175.66355293107344,170.32280050624084,LEC
6,251.56616661327325,247.6392211499118,LEC
7,279.4616671466666,275.4079731649123,LEC
8,285.5769841777778,281.6571758010582,LEC
9,259.6909656623633,252.9551927669841,LEC
10,243.68277854814812,240.1139087472864,LEC
11,241.52937933524512,243.24155869588702,ALO
12,206.7679861111111,210.46348233630476,ALO
13,136.7280072525249,138.97578371833802,ALO
14,140.26968725467785,141.81564898102198,ALO
15,179.42039827365227,173.3347488128,LEC
16,252.98717671111112,246.62130883809522,LEC
17,240.71165151227797,232.8877470104838,LEC
18,112.73415036432056,112.53914991204309,LEC
19,196.6594401558181,188.61744968087405,LEC
20,196.24288234901098,193.14985950355054,LEC
21,231.87728788340155,231.43220217433768,LEC
22,263.8221580347475,270.22312635296703,ALO
23,282.93211924847185,293.5956894541075,ALO
24,297.35070958379583,310.3280974312088,ALO
25,,316.9687488,ALO
