Minisector,PER,OCO,Fastest
0,290.70773720474307,286.1433948622222,PER
1,168.7522717838471,172.16374820564835,OCO
2,169.4308009056956,171.24724292173934,OCO
3,253.06197973190805,256.6998269929845,OCO
4,288.88089034825975,282.05441426813246,PER
5,255.3402443894346,248.39834896563147,PER
6,227.22957825800864,226.69141421394474,PER
7,153.37076327215314,154.7593884696186,OCO
8,224.64164938119148,225.79441086178144,OCO
9,280.65515687860926,277.7653551111011,PER
10,300.71560709956714,297.24183121964916,PER
11,309.7414248547279,304.37171513117596,PER
12,312.4331140491228,308.5372158545455,PER
13,308.7440260796372,303.5988987050074,PER
14,139.1760674136744,137.583629382684,PER
15,120.10754292696613,121.61169734618183,OCO
16,98.26711478037784,100.7293840207978,OCO
17,232.26674003431174,231.0250945372672,PER
18,285.449057283958,282.22646014185943,PER
19,310.0192933677823,303.7442713196342,PER
20,319.58169451555557,314.61119643232325,PER
21,323.3860227239506,317.37571358844673,PER
22,128.547052654325,131.44958859180124,OCO
23,203.2709229237839,185.7533840243705,PER
24,269.38200145463344,264.70159023315057,PER
25,284.22000128,280.01946622621296,PER
