Minisector,ALO,SAI,Fastest
0,275.11970053352775,277.210995002963,SAI
1,301.5471145950126,301.2312342095238,ALO
2,299.37941689096596,302.1008333866667,SAI
3,165.86373593684988,174.2084871397666,SAI
4,117.7880748194919,114.99169761111384,ALO
5,233.63456345834703,236.8621804245754,SAI
6,291.6147455412917,285.79232054943407,ALO
7,309.6134938324362,304.16328145888195,ALO
8,162.66548878871038,177.32476803621634,SAI
9,135.97830680679087,134.77013859662858,ALO
10,249.59368189737376,246.23387252443501,ALO
11,291.1528098402828,290.1109673827973,ALO
12,304.8108915033037,304.23476986385964,ALO
13,286.9275254158298,284.80156834915834,ALO
14,299.47476907150417,295.20158726603177,ALO
15,302.8279768450216,295.6015391755514,ALO
16,255.0087683319705,257.4963499943967,SAI
17,223.28048078844745,217.75061664878166,ALO
18,283.001391718789,273.83706637113994,ALO
19,311.39975172698416,300.40724769583625,ALO
20,315.88827393662336,310.56377341234565,ALO
21,218.4517926617643,230.0161630627725,SAI
22,256.15173852062554,254.79901583394974,ALO
23,128.3778768271025,135.08759755478138,SAI
24,204.53875571863946,192.15106780052173,ALO
25,255.0,253.40659733333334,ALO
