Minisector,HAM,GIO,Fastest
0,292.1707197750567,293.7596588121212,GIO
1,302.5666453762844,305.91636737288115,GIO
2,307.50352638586145,311.38201784475405,GIO
3,307.81805556825395,310.52604181333334,GIO
4,215.03676033845122,192.79973469250382,HAM
5,232.2638348307692,219.63951834013605,HAM
6,272.8968867044291,269.1495963526745,HAM
7,277.96939505720593,269.712014178355,HAM
8,207.38529173646947,192.40791556759913,HAM
9,165.0224549569747,158.18176385425204,HAM
10,193.36456530866153,185.54335093485886,HAM
11,264.2792339137572,260.5014487188406,HAM
12,263.9607199152772,254.5205506059636,HAM
13,240.21434666116366,226.89644969876542,HAM
14,279.2175722136646,274.2139677752828,HAM
15,189.99847802781377,172.527227539358,HAM
16,229.35709795555556,217.6124514254359,HAM
17,256.53038596404224,251.84691436597015,HAM
18,144.89389815962053,135.56647424494983,HAM
19,246.20599401021397,239.48499936274538,HAM
20,282.4261901714286,278.8265870730159,HAM
21,266.38600708123005,269.62284298450874,GIO
22,156.77970075897434,144.1791739486295,HAM
23,222.54049781036593,202.39534597659747,HAM
24,274.69428032132504,269.9590547664353,HAM
25,281.1714285714286,285.52499911111113,GIO
