Minisector,BOT,OCO,Fastest
0,327.9732138320347,319.8594200115942,BOT
1,340.5954646058957,330.42916673939396,BOT
2,344.20439683780097,329.2113636363636,BOT
3,206.48578203346202,195.9410265481354,BOT
4,115.14234495541889,116.50708896903464,OCO
5,265.9486485235215,262.37175841975306,BOT
6,301.1152168811594,299.99497405577495,BOT
7,311.3081520231884,315.0286232115942,OCO
8,279.0475345382716,274.19345001306544,BOT
9,139.91546375384615,140.05951533461717,OCO
10,219.67139000702593,214.22303872311014,BOT
11,208.5343473927171,208.17155920051303,BOT
12,191.00683265824966,186.2932221346326,BOT
13,266.92239716684304,266.24334810395,BOT
14,301.25424112332763,303.9381941333333,OCO
15,311.82536217971017,319.82771742608696,OCO
16,272.2109422544832,255.49444349703634,BOT
17,195.20198307724866,198.9458986337733,OCO
18,267.80642064146366,266.32756530434835,BOT
19,306.28768055652176,306.9925089263859,OCO
20,316.62826073043476,323.09412872727273,OCO
21,308.87777964444444,305.47309142222224,BOT
22,203.89858358755293,197.71706041512232,BOT
23,261.7476692575897,261.2934517333333,BOT
24,305.501999104,301.84045244077055,BOT
25,319.3833322666667,,BOT
