Minisector,LEC,STR,Fastest
0,291.35781564773106,287.676326624462,LEC
1,296.0592229387645,289.9052789683185,LEC
2,156.07966926550102,166.58317829111544,STR
3,219.57361885575756,220.24834233101146,STR
4,270.90505636029627,271.4301691729323,STR
5,291.730780390056,293.0726309213986,STR
6,301.0815441813853,299.8572374886181,LEC
7,164.4377060025271,177.86687964313285,STR
8,128.36167937144154,129.03451965055845,STR
9,249.015412236937,248.57821534901154,LEC
10,285.5117781692352,282.39711597755434,LEC
11,298.63680480000005,288.90420385238093,LEC
12,146.24250084588184,146.18348316105426,LEC
13,192.4647946899306,195.2658623788034,STR
14,258.38414778463977,255.54531223064043,LEC
15,206.5216441405659,209.79156264607636,STR
16,213.85823053225613,220.4595417801719,STR
17,209.67275859986535,212.79219152471654,STR
18,241.05856766938325,242.64680839002267,STR
19,276.4116277992158,276.84868942576105,STR
20,296.82632960056435,291.7186763545098,LEC
21,261.0228193988719,262.18748689906585,STR
22,219.25538733131233,223.82555750205748,STR
23,201.26157544691358,202.25346402328043,STR
24,263.44728272716293,261.6001465271481,LEC
