Minisector,SAI,MAG,Fastest
0,269.61555428131373,271.51904759480516,MAG
1,288.1770998789035,292.29909408013145,MAG
2,288.2587656606211,292.849204616922,MAG
3,181.66030546342353,167.62176598140823,SAI
4,124.09028513102453,115.38857749455238,SAI
5,234.3883842871795,235.55083856892253,MAG
6,274.7672968870037,277.1065972568984,MAG
7,281.8261957538717,288.3546813858824,MAG
8,188.00079706950098,174.10170807760142,SAI
9,145.37985411047705,133.73511226684377,SAI
10,245.37847145818182,247.5635564566254,MAG
11,281.307872414409,285.3414127484297,MAG
12,296.34228170307455,292.7658866861551,SAI
13,284.0869574432323,270.7575835966907,SAI
14,295.7854707934199,289.84123141176104,SAI
15,293.3959648748538,290.23489955093345,SAI
16,248.10756243482004,237.5649411550341,SAI
17,218.03220441520733,218.16571514656317,MAG
18,270.20287867580504,272.32813145477064,MAG
19,293.0289255204294,292.3004543418346,SAI
20,295.77618097683745,297.60113311641084,MAG
21,234.39764276825434,230.51483881861924,SAI
22,254.32990775454093,257.34050476190475,MAG
23,139.09525352795737,132.65015538938243,SAI
24,215.90815656462877,212.2261107617635,SAI
25,253.218748,,SAI
