Minisector,SAI,VER,Fastest
0,269.80714370975056,270.5256615556303,VER
1,233.63890205714287,240.80448319117713,VER
2,114.71435326252565,121.73127766845856,VER
3,174.7065206469622,168.2604899474475,SAI
4,191.11854165330857,202.4192625520879,VER
5,189.96671236258206,199.23404592263202,VER
6,262.8349246623626,266.68534974107996,VER
7,285.22623161829586,285.70817600842105,VER
8,227.97832876039848,239.47863061424638,VER
9,147.31497463927042,147.44163989572186,VER
10,113.82335475421937,108.6173106320966,SAI
11,150.42245927261837,149.2814767057657,SAI
12,242.9680479531629,245.1244131326407,VER
13,153.64892314559867,151.70255365122824,SAI
14,142.75827085882014,150.68933022627348,VER
15,108.01606065441321,109.97238610977209,VER
16,225.31565438234162,217.1238436751515,SAI
17,226.50026572348293,237.49288274813424,VER
18,125.22618836838993,126.71563577138781,VER
19,241.86680804746453,241.53266784878798,SAI
20,277.2494411236774,274.43593232761907,SAI
21,198.87884624646463,199.42178575581605,VER
22,140.2167011453086,145.58148890717504,VER
23,210.48708354641272,221.00283150928172,VER
24,227.23810942217145,228.302763204042,VER
25,254.5714304,,SAI
