Minisector,LEC,RUS,Fastest
0,279.52151331787036,280.805429782374,RUS
1,297.35149384355435,299.0416349046349,RUS
2,239.7331184327292,224.26101247633557,LEC
3,111.31612931935679,108.35117215713412,LEC
4,125.4054243210948,126.18606158433312,RUS
5,248.08890140395258,247.2548360650794,LEC
6,253.45526120128707,254.7592697992144,RUS
7,120.8774315091656,117.85726652152728,LEC
8,243.64512290250525,241.99341818181819,LEC
9,250.34399900711375,258.07388026470704,RUS
10,202.65520137937168,200.51996706666665,LEC
11,137.63609747780376,138.36849608750862,RUS
12,202.0863233763775,201.0094099711399,LEC
13,262.9336039797447,261.92045131461555,LEC
14,112.10544826143904,106.76583912752423,LEC
15,183.04068681124093,182.0220322331318,LEC
16,253.71062310466039,254.03857626983634,RUS
17,286.3155109323851,289.4677573291402,RUS
18,300.5506414409035,307.3357936126984,RUS
19,306.8629934736842,322.5618038640767,RUS
20,309.677027792,329.931651274701,RUS
21,152.3887554490773,144.77107945880817,LEC
22,145.7398789720864,141.43505008101272,LEC
23,196.63056036596643,183.36415783521548,LEC
24,233.00245724458497,235.94459159384616,RUS
25,264.4,,LEC
