Minisector,VER,SAI,Fastest
0,296.3139273414588,303.7939278588573,SAI
1,286.53168559720893,285.1513888888889,VER
2,185.15905208828434,174.4738020938632,VER
3,212.5828717196215,194.68416676571428,VER
4,226.6097367082061,221.33656543668113,VER
5,267.501999744,267.52616669866666,SAI
6,241.66626470127233,229.46874903466667,VER
7,218.7329439681567,208.10911476666666,VER
8,176.55076389523714,161.3309105860465,VER
9,181.6724619168234,174.4263502110916,VER
10,195.23862352623294,178.35350894035088,VER
11,214.11439306285214,207.5175541739555,VER
12,254.80153205365397,238.76724015782312,VER
13,177.10077683810957,166.61621478850452,VER
14,247.07300713863225,247.078176125109,SAI
15,274.9842579748416,277.5681760286417,SAI
16,275.6021791527204,270.9513570681905,VER
17,273.0976449391304,263.38582046487625,VER
18,264.26997808992627,253.2754809846154,VER
19,256.55024290652557,250.31582638392513,VER
20,264.8814063370069,228.8590451839071,VER
21,204.93060147099132,165.36957405538848,VER
22,225.7738989043119,238.10972286419752,SAI
23,274.46949973333335,280.4779209460947,SAI
24,285.2581521623188,297.87037042962965,SAI
25,286.0,,VER
