Minisector,RAI,OCO,Fastest
0,291.13267721904515,290.7130440811594,RAI
1,313.33020810666665,312.2587502095238,RAI
2,314.082630688091,309.34874858666666,RAI
3,182.4077384576871,174.94002740180088,RAI
4,219.86324642097182,219.53829340598284,RAI
5,197.6102708971724,197.20360816190475,RAI
6,184.2004727260504,182.2347939128947,RAI
7,210.09150217142857,214.36508619770115,OCO
8,259.0303319111111,258.93992206492163,RAI
9,266.5180222542181,257.87067488198295,RAI
10,172.2915570526316,167.1766428491228,RAI
11,244.34186541988217,243.20611503014263,RAI
12,119.48482620892659,116.1463696515066,RAI
13,230.1209782247619,235.38432115106227,OCO
14,280.78879532235044,280.9108661025799,OCO
15,294.72136069079363,290.77721124716555,RAI
16,204.11557619809525,195.24750173313657,RAI
17,177.31167529971657,185.1301179611605,OCO
18,270.5864650199038,274.1936343924092,OCO
19,300.8496757338535,303.5267852952381,OCO
20,314.3946694380243,316.2496801674792,OCO
21,314.87979178666666,315.58782929122805,OCO
22,258.8222368975325,248.57819047542685,RAI
23,116.44812143591525,117.58233210318649,OCO
24,241.67003125536428,247.00681944685715,OCO
25,277.6124992,,RAI
