Minisector,NOR,HAM,Fastest
0,285.37336053958876,301.0474567139847,HAM
1,296.2197883653184,318.4131612547743,HAM
2,301.1437603630476,330.1155112793651,HAM
3,295.8441432611241,334.3062261433063,HAM
4,203.11592877538462,197.69731310180288,NOR
5,225.47664005789622,220.22299211924076,NOR
6,270.12706903945576,269.64264603089947,NOR
7,269.36558773870536,266.157946917017,NOR
8,202.01633612321604,195.59458998044445,NOR
9,148.71988647029778,138.17784399075333,NOR
10,183.783324032,188.35363947928812,HAM
11,263.78149303299904,265.74797797647057,HAM
12,254.54569744969695,248.07578747762972,NOR
13,233.58602536019862,235.9026833174267,HAM
14,270.5549042707692,273.8934431720425,HAM
15,176.69246525746033,167.15459729930285,NOR
16,224.23617857697056,221.73542293820952,NOR
17,242.06728180102562,227.69737426567008,NOR
18,133.62784051263185,139.60336853711746,HAM
19,244.94368243501683,251.60181895675248,HAM
20,283.807190822924,286.63480937614315,HAM
21,251.02426859537414,228.41442227504763,NOR
22,144.98029314785492,144.80266023751884,NOR
23,218.07503671706726,223.00323163033127,HAM
24,269.58825350745,273.1912059773738,HAM
