Minisector,PIA,ALO,Fastest
0,276.69786805333337,275.75056561834214,PIA
1,297.9681693881097,298.0542425409862,ALO
2,298.8135861312253,294.7155440291536,PIA
3,174.37441925358956,167.4991729728323,PIA
4,118.94723244166845,123.23574034634242,ALO
5,238.63385195539394,234.70097788448513,PIA
6,282.27897606278685,279.83932299702616,PIA
7,298.6317080888889,292.5497547992935,PIA
8,184.7638039452754,183.23720468441275,PIA
9,144.7187463493283,146.81703673421555,ALO
10,255.2849998206061,252.103316760409,PIA
11,291.1423351209975,288.9411858714148,PIA
12,305.1365252593513,298.01572663258145,PIA
13,290.33402459447007,287.20756808951353,PIA
14,298.9018195453291,296.7257156220952,PIA
15,302.1432737834921,299.8889357386227,PIA
16,268.69505676045435,259.4262276596825,PIA
17,239.71040563809524,232.3294554871264,PIA
18,281.64933515948076,276.46062456,PIA
19,300.9000642225245,296.8170948125018,PIA
20,307.93000039921884,297.2403727893333,PIA
21,252.35149865306124,242.9370434469904,PIA
22,268.59103598985973,261.838985469304,PIA
23,138.48394211658223,145.28314468367688,ALO
24,220.39794280290832,213.56293802174602,PIA
25,,257.51666773333335,ALO
