Minisector,HUL,ALO,Fastest
0,279.298248012403,277.6751625904762,HUL
1,294.97125008,293.04067464126985,HUL
2,236.66040678603534,241.11984024126983,ALO
3,115.68537570420169,112.62886405286187,HUL
4,136.44071250852713,133.6628560535243,HUL
5,249.62218874418238,251.05975668703397,ALO
6,257.49478924444446,244.8552084,HUL
7,124.60818570739947,125.0965627695732,ALO
8,245.2278991304348,248.45076728518052,ALO
9,261.0601952418199,264.4613815134199,ALO
10,210.459556958036,208.25848205714286,HUL
11,143.91516426183873,142.13249256069545,HUL
12,206.99562848472908,212.23692719455784,ALO
13,264.5781925333333,262.08937943720133,HUL
14,118.95971008260938,116.64716621714285,HUL
15,191.58427262392556,195.9010680696223,ALO
16,257.2504823776266,257.99346038168494,ALO
17,287.4692461641723,285.9793156495238,HUL
18,299.9300439578947,299.8457143771428,HUL
19,303.61864039298246,303.1990992608911,HUL
20,307.0616118229998,304.91833333333335,HUL
21,173.15974597675617,158.4473070195354,HUL
22,143.10500133333332,153.51383638926484,ALO
23,205.64118431067368,199.10349446881722,HUL
24,237.4343345066667,237.09597227945488,HUL
25,266.01659855939033,,HUL
