Minisector,SAI,GRO,Fastest
0,279.72748651779284,276.2545339834448,SAI
1,241.6112927780246,243.07196735454892,GRO
2,274.1283419143341,266.06566453916844,SAI
3,290.96949863851086,281.0531010521097,SAI
4,121.34469263622398,121.12929596963014,SAI
5,210.7313845650746,201.987183093156,SAI
6,271.75096547293776,264.1311538154345,SAI
7,305.0759879319455,286.6523639996769,SAI
8,321.3624998857143,297.37340362420707,SAI
9,328.4314262975549,302.29536304520684,SAI
10,290.6056563620944,291.7904425411765,GRO
11,96.57046441637486,99.25128992956155,GRO
12,224.60216687299535,215.32466358075345,SAI
13,274.7416780281188,263.7807833070931,SAI
14,269.5516132467224,273.00347259259263,GRO
15,126.07601463940436,133.31784609499158,GRO
16,198.75138930301853,197.79327246172846,SAI
17,256.8552332280744,250.65257007428073,SAI
18,256.3640354807018,252.92724672871503,SAI
19,248.3602080981344,240.32559505703298,SAI
20,147.10184026200247,152.20341084868335,GRO
21,190.72960609362508,179.7163268614106,SAI
22,165.76162504697822,171.49460704302047,GRO
23,189.22469221709204,187.84272760555453,SAI
24,252.86363201540303,242.67190803192176,SAI
25,,266.17777777777775,GRO
