Minisector,HAM,TSU,Fastest
0,281.8659765127806,280.49700291333335,HAM
1,297.50035806653966,297.04450847558536,HAM
2,291.1137230766497,293.1275681532275,TSU
3,181.9560087941764,174.31475541364853,HAM
4,219.44310696734695,213.2132166702381,HAM
5,207.49047500617553,198.2396535487148,HAM
6,186.37386419332995,176.3679472849457,HAM
7,213.71118550422725,199.33856952962623,HAM
8,261.8612995565525,254.00262440263734,HAM
9,271.3704650811415,256.1888386064399,HAM
10,166.8462627707519,161.95147618222265,HAM
11,238.38902462330228,237.5657384693208,HAM
12,115.66679386385859,109.2305953423203,HAM
13,223.71708531541103,224.91783185646352,TSU
14,275.732687761679,276.5675523265672,TSU
15,293.49837596671125,290.3789853704348,HAM
16,215.31005584988938,202.38907145368975,HAM
17,190.7528414447392,185.0116088593974,HAM
18,264.7091391123141,266.7378144113834,TSU
19,291.2204062521457,290.1238282722761,HAM
20,301.35137321469387,300.45242908257313,HAM
21,299.85038506061983,300.57025593881673,TSU
22,259.0888181054121,255.9310692661237,HAM
23,120.05682022087602,113.06363875208567,HAM
24,237.07627653720732,238.84993251102836,TSU
25,267.9874976,,HAM
