Minisector,VET,LEC,Fastest
0,268.2828426666667,267.2907635039946,VET
1,300.60975389306446,298.36537701948964,VET
2,316.2333688373484,313.453189170068,VET
3,325.4307935593651,322.3552618096929,VET
4,330.69006005905055,327.9624390116233,VET
5,332.8705356952381,330.8773384272109,VET
6,287.81960784313725,272.6520794074074,VET
7,114.35888239901217,115.99221433355702,LEC
8,150.72452366730158,156.69574220949931,LEC
9,255.1195272871463,255.1919002666667,LEC
10,292.6343748666667,292.1062506,VET
11,247.76506889624062,246.3265340262782,VET
12,92.96323903895318,94.4546058843215,LEC
13,110.1733418112866,113.59400389128919,LEC
14,217.07024707720524,219.79264565982515,LEC
15,193.63249975466667,190.73599906133336,VET
16,227.19856372975832,219.9553809606643,VET
17,191.57023110699512,195.37088217777776,LEC
18,226.15134814409512,223.332768816809,VET
19,277.0169118745098,274.2870377481482,VET
20,293.4182637091262,287.5776029333333,VET
21,155.55032927947457,158.00272415583248,LEC
22,104.075073738717,101.88767712498209,VET
23,120.5268991692916,122.88070264225203,LEC
24,206.88623188405796,209.00148722802138,LEC
