Minisector,ALB,BOT,Fastest
0,302.0185558986114,291.7408331073016,ALB
1,315.6363948843537,300.9214582577778,ALB
2,323.4769233230769,308.04222236444446,ALB
3,327.96879741253963,303.85576974065935,ALB
4,221.32729358447835,201.3498621104204,ALB
5,96.39212432826052,100.58290102511144,BOT
6,195.993510770068,203.53074010655146,BOT
7,250.02747458349435,255.96169713115748,BOT
8,283.18316526346564,281.56502901904764,ALB
9,293.4436110933333,293.1158340266667,ALB
10,159.31352596048697,152.16643479450215,ALB
11,164.33132698989544,178.94710010434784,BOT
12,232.34934293333333,240.173012255087,BOT
13,237.6017113437094,238.69128561827677,BOT
14,152.3185439758884,155.20997085714288,BOT
15,202.0398548099773,206.95711542448242,BOT
16,255.04858165298816,257.6747538644258,BOT
17,276.6763024666667,280.35572886666665,BOT
18,287.4313494857143,292.52562065411087,BOT
19,294.5580557511111,299.844539790821,BOT
20,284.4132127739288,286.290120584127,BOT
21,152.79556449032256,152.6294130772231,ALB
22,204.47233263011015,206.76179398487082,BOT
23,252.7397061647059,256.44936920560224,BOT
24,276.56250066666666,279.20849115737946,BOT
25,284.48333333333335,287.23888924444447,BOT
