Minisector,LEC,RUS,Fastest
0,268.9070454868853,272.014822944903,RUS
1,289.16774414337664,289.03812139384416,LEC
2,296.3364753964912,294.5694821866667,LEC
3,125.85258229179027,126.39285016594395,RUS
4,190.71231797974608,196.60840051870755,RUS
5,248.21810988752955,254.99527361539714,RUS
6,131.10397446765307,141.4964513476679,RUS
7,197.86233197806635,201.4711015908922,RUS
8,255.44780830465947,257.5935510103258,RUS
9,279.788221280393,279.20584096349205,LEC
10,232.12274891123812,239.93978825034014,RUS
11,170.74845766908362,178.42259416550263,RUS
12,184.8329559866103,194.31191077320182,RUS
13,146.38435623284934,146.31460850130395,LEC
14,172.01696086317875,179.77843533776206,RUS
15,156.12891467297297,166.95254946679805,RUS
16,215.80821684619607,219.8807835813671,RUS
17,236.096440485005,239.35879959619047,RUS
18,236.78012234276508,242.37239104182783,RUS
19,237.4691344352639,240.2892002653968,RUS
20,146.1138436345437,149.12766573831283,RUS
21,127.94576517503532,130.54801569349658,RUS
22,165.07540225908068,166.2770894653968,RUS
23,148.26919244224314,155.07990084924754,RUS
24,228.50472819120182,225.3592896016372,LEC
25,,254.0250016,RUS
