Minisector,PER,OCO,Fastest
0,298.2389932387662,287.9617561362963,PER
1,316.278074074074,297.3317227670588,PER
2,322.28121218327277,302.17870021226895,PER
3,312.12359282269404,297.8326443963399,PER
4,168.68767434404506,166.56197134261893,PER
5,203.5304548327162,203.51519631892552,PER
6,234.63721853218445,238.40173980120605,OCO
7,266.2379682188894,266.2414586506667,OCO
8,251.14698760082817,252.74159161489175,OCO
9,158.7899816862745,157.2151556189657,PER
10,220.22897236791388,226.20519544888887,OCO
11,131.720972018101,124.78425545390631,PER
12,224.71458347936507,218.62125595041925,PER
13,179.93338324987656,175.9896450219355,PER
14,214.46297151428573,204.053917793204,PER
15,232.63430954324363,237.62795131555555,OCO
16,257.2014700411318,257.68603423768315,OCO
17,280.91049572583916,281.74348430424817,OCO
18,157.27331053920537,154.64329832539087,PER
19,164.91255271954674,156.75339431682016,PER
20,142.3187495313828,135.38775273140374,PER
21,220.77361932312382,223.85756422787878,OCO
22,248.20227797231746,257.48897864900215,OCO
23,240.043552648274,245.46407818747474,OCO
24,267.5669588108402,268.5818978605688,OCO
25,279.35,280.56874933333336,OCO
