Minisector,HUL,STR,Fastest
0,276.95138717680265,279.38102085925925,STR
1,119.06645050835398,127.33315087471861,STR
2,156.35378112211103,158.68996702265488,STR
3,206.78054970243696,217.81270349357698,STR
4,160.07808659753087,159.6919943767431,HUL
5,243.95810490049777,238.36124604310777,HUL
6,234.24623362040523,201.7019385206349,HUL
7,132.41805974639456,136.21419408253968,STR
8,225.86319306666667,229.62038471619047,STR
9,281.5038229325001,274.2629986621071,HUL
10,290.7774880806723,277.67291893333334,HUL
11,145.07131467449778,142.88976686350762,HUL
12,213.3867398787879,221.3432720304762,STR
13,270.7303023024158,268.6942060198803,HUL
14,262.63380065185186,266.03949895924904,STR
15,98.54246720630812,104.06859107536643,STR
16,212.958575591342,217.2689380848485,STR
17,267.66826418939775,269.34525765936246,STR
18,300.3513014761905,291.26642782845545,HUL
19,316.2380947809524,300.7858843646259,HUL
20,324.9722220088889,300.12083333333334,HUL
21,284.4876538666667,269.241767842769,HUL
22,148.96979970597266,153.8860339077193,STR
23,234.46016249242817,234.70062373333334,STR
24,284.39306630812325,272.9697244548143,HUL
