Minisector,NOR,HAM,Fastest
0,271.92873250562195,271.04141472986,NOR
1,251.46336912787092,249.73970533554268,NOR
2,118.53289174101741,124.58036117825503,HAM
3,169.14204519736035,175.83932379909936,HAM
4,196.97327890229278,203.2217714964082,HAM
5,195.03229650648203,196.8742996784728,HAM
6,263.4506924364626,263.4935261985537,HAM
7,286.1806043687619,285.74419847037393,NOR
8,224.97460080263954,239.87925736923313,HAM
9,143.52531568467106,149.36896337167525,HAM
10,112.15670925955258,119.31444512352338,HAM
11,153.89476226831042,147.4450920622095,NOR
12,244.35001243255863,242.6740054852772,NOR
13,149.90665412404994,159.72745638784957,HAM
14,141.31992613965,147.44461689487756,HAM
15,107.57995703240941,108.68994883812913,HAM
16,216.92314436097158,213.40658850814816,NOR
17,231.34475274891255,248.68499282675617,HAM
18,125.09902056703005,130.79278994428495,HAM
19,238.2244776518595,237.18157097032437,NOR
20,275.54628634324206,274.153359746147,NOR
21,210.3959696152381,224.20960179645184,HAM
22,138.20433826753646,144.9914145184965,HAM
23,213.05959125090908,219.48252468317463,HAM
24,224.53894401135074,220.02886041793664,NOR
25,,252.91875040000002,HAM
