Minisector,LEC,NOR,Fastest
0,260.50083282857145,258.3053530646326,LEC
1,136.44313745239566,136.0474296639624,LEC
2,206.86518620555916,204.09455678476192,LEC
3,247.31452370285714,248.4854376495006,NOR
4,255.14118279183975,256.477498688,NOR
5,174.64396415061003,171.59914057439465,LEC
6,145.8742617793016,144.30163858772855,LEC
7,184.10254791538284,181.8262269064307,LEC
8,102.95935631278756,95.19740731678623,LEC
9,71.1024909550716,72.34784561965468,NOR
10,98.02791612765871,94.98149807386528,LEC
11,192.59407516309773,185.2482866438095,LEC
12,247.9786338369414,244.48329546603114,LEC
13,269.94507609761905,269.24985028808203,LEC
14,281.17440924835165,282.44999978666664,NOR
15,110.61044685620722,113.66433582697508,NOR
16,162.0873198640254,145.95787228472315,LEC
17,187.48720476756694,186.11054229305313,LEC
18,199.04555009705217,198.91894299566283,LEC
19,217.51444695505026,222.45203640296296,NOR
20,139.34941202540605,143.46065077539882,NOR
21,104.910282432994,120.38012805726248,NOR
22,100.02962499288127,94.28425503833665,LEC
23,203.05137178818552,194.80425717172932,LEC
24,248.34752726153846,253.7176310785484,NOR
25,264.9499968,266.42105347579513,NOR
