Minisector,HAM,RAI,Fastest
0,292.118055415873,310.4549879630871,RAI
1,300.0451885132974,329.70736184597007,RAI
2,280.2922841624844,304.6218877633773,RAI
3,117.72121391652736,110.55295672080038,HAM
4,226.53088996104276,224.48810461851264,HAM
5,267.9542513268958,272.3475521900734,RAI
6,220.62622820625197,222.2038208352388,RAI
7,164.58477517288617,160.3878339630181,HAM
8,206.90576745278324,195.28693775394012,HAM
9,211.93587947866922,211.00862773475694,HAM
10,116.2659108816873,114.1179434608263,HAM
11,229.8975036723936,225.45100820413725,HAM
12,116.89179663214999,115.45698307360308,HAM
13,227.94036340321426,225.42360932946045,HAM
14,283.8446377232491,282.8931599002034,HAM
15,229.08564587547764,214.63542308234898,HAM
16,200.88161914354797,189.19028727856463,HAM
17,255.37403542420142,253.46596981647252,HAM
18,217.8943598650992,204.61663291549394,HAM
19,182.09700453741928,175.17435083050836,HAM
20,267.2816175765393,267.87605932538463,RAI
21,294.9237767863779,294.48473333418576,HAM
22,164.8495298194041,161.43530127267613,HAM
23,213.0535199737551,205.11065226908576,HAM
24,280.32815669800425,278.08749105679897,HAM
25,,296.56666666666666,RAI
