Minisector,PER,TSU,Fastest
0,302.64079548657077,296.03729911688316,PER
1,155.039626305775,152.7535665187779,PER
2,147.25844215361064,154.39004366183943,TSU
3,225.4460640590912,224.52570079655914,PER
4,287.6151578629095,283.95560449931435,PER
5,290.6814715398347,294.20344479758126,TSU
6,141.15322342423335,141.7393292851975,TSU
7,141.96428748914244,141.64357864251377,PER
8,144.4972546646634,141.8883551884664,PER
9,185.86141092519284,175.3097910283315,PER
10,126.47965323294484,129.64410984186443,TSU
11,134.01803228170377,124.5957645998551,PER
12,159.1155727659925,164.27377766027288,TSU
13,268.3196016,264.05391540040404,PER
14,291.5655328872727,290.4310987248485,PER
15,153.67033619285465,151.0848364598417,PER
16,198.3857854004535,213.76075180412556,TSU
17,169.6176796624409,165.69439167125248,PER
18,271.22630585778086,269.4266416287095,PER
19,295.9567183610582,293.6130199636734,PER
20,311.12344105187304,307.5500058964502,PER
21,319.3966228710559,317.5666489055238,PER
22,323.47604169356725,320.67782413121694,PER
23,325.89923274816056,322.71033834586467,PER
24,326.56804686,323.7905487907354,PER
25,327.0,321.0,PER
