Minisector,LEC,MAG,Fastest
0,231.10433996645295,233.2628568333287,MAG
1,281.25424764100933,282.03905366353723,MAG
2,294.75971312638086,295.61452559330615,MAG
3,299.70416659393936,299.98874455411254,MAG
4,265.63970073827664,271.57600875428585,MAG
5,168.69417989153183,170.96770004540244,MAG
6,260.46866611559153,261.0806544571429,MAG
7,281.0001983105064,276.94280299220776,LEC
8,214.4655406692983,217.12250832792077,MAG
9,216.14445702030395,217.8140135550739,MAG
10,183.664006126976,183.08631023865544,LEC
11,224.7293199633157,223.5739531310944,LEC
12,201.66261201043812,203.6779850652436,MAG
13,214.1845753444992,210.5519447720635,LEC
14,217.60513045123153,221.71371273969655,MAG
15,181.19646951296977,180.03409848163264,LEC
16,248.6180541777778,248.50412524080852,LEC
17,288.9577309533264,291.1666662095238,MAG
18,304.429223169161,305.46979152,MAG
19,290.3466289460462,298.80532993741497,MAG
20,129.18805293997463,129.61953811120955,MAG
21,164.934710365449,165.42244085703828,MAG
22,151.00648639543513,149.80172680696865,LEC
23,202.68883057268047,204.8400238169516,MAG
24,143.72218977452937,144.49560506137138,MAG
25,179.65,183.05416373333333,MAG
