Minisector,PER,LAT,Fastest
0,269.52387246547863,278.9925795317216,LAT
1,291.6524077035498,302.0761824018546,LAT
2,283.4763895163823,280.0986230514436,PER
3,156.73931747887957,146.82908239563858,PER
4,192.30004616097108,179.54470358910507,PER
5,167.8112922816259,153.64650005359826,PER
6,157.3229982556391,152.6191257977631,PER
7,183.28128014943348,180.6331105383514,PER
8,235.24137475566883,236.49092017004065,LAT
9,229.35852198772457,233.85089544696223,LAT
10,141.34639558919247,137.98544052601937,PER
11,218.3741441611729,214.52114936553656,PER
12,104.43311963228987,100.87716879460666,PER
13,212.7929616336939,209.8552197968294,PER
14,264.9914977004316,269.8761467053181,LAT
15,272.9281378937198,279.3758071847776,LAT
16,169.79553783015643,161.42502112190476,PER
17,152.1582498030044,153.0428637758227,LAT
18,250.0329074333054,254.2324235002422,LAT
19,281.2033806714834,287.5621442807504,LAT
20,294.56862772298365,303.37840131444744,LAT
21,287.9401655185083,271.91163241189076,PER
22,232.3840602748924,218.74867933884417,PER
23,100.17622373091719,94.14187093699162,PER
24,216.44392655069146,223.14704943689594,LAT
25,254.520832,,PER
