Minisector,ALB,BOT,Fastest
0,278.37427996414857,283.97678788571426,BOT
1,117.6009055241031,118.22075792067686,BOT
2,148.0856789245213,158.41768536934242,BOT
3,208.21037302002887,210.0970926026331,BOT
4,160.70454356708666,156.93296015435627,ALB
5,240.45994401966036,237.62011421396093,ALB
6,197.98026637878198,203.1889945500621,BOT
7,130.02248658634014,129.88966328455285,ALB
8,230.08595446810966,237.15287871390478,BOT
9,273.2941483915593,281.8198147218222,BOT
10,286.17920783058827,286.4319217189803,BOT
11,145.57560453825397,139.5328493087428,ALB
12,210.22902498097372,216.72579310545453,BOT
13,266.55987024149397,267.322528795123,BOT
14,276.7906544101587,266.27197723500313,ALB
15,98.76290500634677,101.08879218186368,BOT
16,211.45346826589727,219.3934774109091,BOT
17,268.8665055777948,271.0259850745218,BOT
18,293.8652426179663,297.9460176829629,BOT
19,302.6094378936481,312.76115421866666,BOT
20,309.92109707332145,321.8549550514286,BOT
21,292.0154529357576,286.93037813420705,ALB
22,146.62530543333327,142.16146654441172,ALB
23,232.4414185274921,230.4922021232345,ALB
24,274.38718791111114,279.90282760963584,BOT
25,286.76000256,296.88666624,BOT
