Minisector,HAM,VET,Fastest
0,292.83731493901416,296.180980738322,VET
1,312.18196454857144,313.9049907697198,VET
2,306.05241153657437,314.5783333333333,VET
3,180.51718063853133,183.0988923954772,VET
4,228.69974093030015,225.09520870076426,HAM
5,205.82137736049083,209.00208381301883,VET
6,192.95043267051065,190.57163923493226,HAM
7,220.0228447264368,220.3976455029974,VET
8,263.522188027898,264.1410625222431,VET
9,258.7739100126984,262.9998571946667,VET
10,177.11991556879653,176.49619977099894,HAM
11,246.09479981226667,244.42387501324097,HAM
12,118.7596599985724,122.21652897951184,VET
13,231.66172054229014,232.99541179172132,VET
14,280.05714240000003,280.3822714789201,VET
15,291.25812330256093,292.5752164502165,VET
16,210.95825894930874,210.4265587924474,HAM
17,186.68739840069907,188.96334776334777,VET
18,274.51003694545454,276.8043326937686,VET
19,301.77013765090396,301.7730952380952,VET
20,313.9406248,312.8266910723505,HAM
21,314.381547784127,313.2838095238095,HAM
22,272.6429847536232,280.254347826087,VET
23,118.33427417645011,117.6351413735849,HAM
24,244.48471699010082,246.90467275978386,VET
25,278.27142765714285,281.3416661333333,VET
