Minisector,ALO,HAM,Fastest
0,278.4089696651082,285.77155813075166,HAM
1,298.17605335893586,312.6885666682572,HAM
2,235.7860184911464,225.60477432586208,ALO
3,112.29198912767171,106.5613906126706,ALO
4,128.53987000202898,126.33115380558229,ALO
5,247.4652863031,252.15920734222223,HAM
6,244.61043934978,247.43977485434377,HAM
7,120.08529201819965,114.93001064421907,ALO
8,247.5861949786362,249.9196814929537,HAM
9,262.5678073523634,251.06461306433593,ALO
10,210.31682389939127,208.83408375068785,ALO
11,141.81139233112975,129.37375215481512,ALO
12,206.30311206856612,191.14945337895534,ALO
13,249.2259269908364,259.60330823080955,HAM
14,109.15576790525493,110.73806107311863,HAM
15,188.57602103590082,180.63643035109536,ALO
16,255.58030162873854,251.28935611887772,ALO
17,293.48554505784676,287.90853694040817,ALO
18,313.0911155665163,304.5732524926958,ALO
19,325.1471844708198,320.48593140625803,ALO
20,331.31344254391536,329.9132854416569,ALO
21,161.73341911940247,174.46714127711994,HAM
22,148.78752391900454,127.41264620830012,ALO
23,193.19300391941198,185.86366117175342,ALO
24,232.50797381485714,222.32411972175015,ALO
25,264.95499904,265.68000256,HAM
