Minisector,VER,ERI,Fastest
0,259.9925980052481,258.2372324917872,VER
1,134.75549646380196,132.62161459697558,VER
2,264.36411456809213,260.75794386075535,VER
3,306.3925345587302,299.105166848,VER
4,303.8758887964444,296.2716665721905,VER
5,312.03592575303577,301.7631667626667,VER
6,318.06739130434784,306.41076391111113,VER
7,318.2992452967903,308.22683332266666,VER
8,202.4513566701145,207.8866210356498,ERI
9,205.5089937788043,197.44161475995378,VER
10,186.56521953021704,194.7412424174708,ERI
11,168.2108853122565,159.4672462148409,VER
12,256.7351997057471,248.45535847916835,VER
13,280.46733735430996,279.7474701714286,VER
14,282.96570465641025,278.589411997674,VER
15,280.7514835223635,281.26243541446206,ERI
16,186.72644853296592,186.47750316836735,VER
17,194.02489396434677,193.30865744417596,VER
18,243.70345626434727,239.95882775791088,VER
19,289.6060891076923,285.18488064900407,VER
20,311.42518089275364,303.75672089523806,VER
21,319.1300594793651,309.43066666666664,VER
22,318.7174106095238,308.8239583555556,VER
23,256.66480345440675,265.2331912480159,ERI
24,118.03915745324035,115.18618537450281,VER
25,,226.69999786666668,ERI
