Minisector,PIA,ALB,Fastest
0,280.6564407901821,282.66955112699816,ALB
1,144.48253152200343,146.9530431362489,ALB
2,173.04353611917287,162.26583742728377,PIA
3,245.16478699359305,240.53829604311957,PIA
4,265.8651483679481,260.5162113629304,PIA
5,233.62794727009523,215.9737835163982,PIA
6,213.67992098344817,199.35238021460404,PIA
7,145.680931758557,141.09222389048543,PIA
8,226.58418932465457,230.62667040319812,ALB
9,297.890006321207,297.9030653580247,ALB
10,319.68921594472,323.50023451172666,ALB
11,317.5795049584541,327.55653120676317,ALB
12,310.40809946326823,320.7856536941565,ALB
13,305.1647382829329,306.0011201301638,ALB
14,124.90515872921749,119.49252131747511,PIA
15,119.93053665269564,112.0928440959245,PIA
16,104.09452662443785,108.7256309871288,ALB
17,239.29787287238244,246.4263661148763,ALB
18,303.64756201379316,304.70727582679166,ALB
19,322.11592244705884,315.25065463131375,PIA
20,321.85768775306826,315.0984679579333,PIA
21,315.4691607828571,313.6637188155964,PIA
22,115.42304142454945,115.11549529383205,PIA
23,210.11380937477773,213.2273638322135,ALB
24,273.6965995699501,274.4161999896618,ALB
25,286.2,,PIA
