Minisector,HAM,GAS,Fastest
0,311.14873911950195,313.9495154410339,GAS
1,323.03232716719765,327.16786143709487,GAS
2,325.8968942109373,332.4650235381637,GAS
3,293.67420098039366,300.36949993071505,GAS
4,162.40802605282073,150.30644802365933,HAM
5,196.44391864067828,183.59334672020626,HAM
6,216.65361249528522,210.78085725372685,HAM
7,256.34020816227314,255.2149211169294,HAM
8,237.62498051090867,237.34454756616188,HAM
9,159.54858087578134,147.22542158855185,HAM
10,203.91565667130794,204.66221721552336,GAS
11,127.02029509581047,120.94770452550485,HAM
12,233.7320390866633,228.72305976382086,HAM
13,176.0043952201929,155.45998308654737,HAM
14,203.74358401830975,207.94526258286368,GAS
15,219.29088727191854,212.4724570986577,HAM
16,259.80250739938276,256.0963048396095,HAM
17,294.11905511071035,288.3971641613695,HAM
18,149.1816156230762,132.62714078837087,HAM
19,152.95770623353147,152.49271975808313,HAM
20,136.66697518649337,130.92050642394366,HAM
21,223.07934648377707,225.49873742898464,GAS
22,242.6553171972418,250.9243818916719,GAS
23,231.4260543644248,227.28329531271197,HAM
24,282.18476222577203,277.5460057862384,HAM
